"","day","year","mo","da","collision_date","NUM_COLLISIONS","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","sndp","fog","rain_drizzle","snow_ice_pellets","hail","thunder","tornado_funnel_cloud"
"187",4,2014,1,23,"2014-01-23",612,16.5,5.1,1014.4,9.7,11.1,19,24.1,28.9,9,0,999.9,0,0,1,0,0,0
"188",7,2017,1,15,"2017-01-15",490,33.6,24.8,1025.3,9,10.8,19,22.9,36,25,0.01,999.9,0,0,1,0,0,0
"189",4,2017,1,12,"2017-01-12",646,47.8,45.5,1021.7,5.4,12.6,19,24.1,53.1,42.1,0.42,999.9,0,1,0,0,0,0
"190",2,2018,1,16,"2018-01-16",617,32.3,28.9,1032,8.2,8.8,19,26,37.9,28,0,999.9,0,0,1,0,0,0
"191",4,2019,1,3,"2019-01-03",504,39.4,32.9,1015.6,9.5,9.2,19,24.1,46.9,28,0,999.9,0,1,0,0,0,0
"192",4,2019,1,10,"2019-01-10",580,34.9,21.2,998.6,9.7,14.7,19,32.1,46.9,32,0.01,999.9,0,0,1,0,0,0
"194",1,2013,1,21,"2013-01-21",355,31.2,16,1015.5,9.2,10.1,20,26,45,27,0,999.9,0,0,1,0,0,0
"195",6,2013,1,5,"2013-01-05",389,37.3,24.5,1017.3,10,13.2,20,28,42.1,30.9,0,999.9,0,0,0,0,0,0
"196",2,2018,1,2,"2018-01-02",654,14.7,2,1024.9,10,12.9,20,31.1,18,5,0,999.9,0,0,0,0,0,0
"197",4,2016,1,14,"2016-01-14",597,28.9,14.7,1013.1,8.1,11.4,20,27,37.9,27,0.01,999.9,0,0,1,0,0,0
"198",5,2016,1,8,"2016-01-08",602,41.3,33.1,1022.3,9.9,11.8,20,28,48,30.9,0,999.9,0,0,0,0,0,0
"199",1,2014,1,6,"2014-01-06",518,46.3,45.1,1007,2.5,14.8,20,26,52,41,0.04,999.9,1,1,0,0,0,0
"200",4,2016,1,21,"2016-01-21",666,30.9,10.8,1015.8,10,14.5,20,27,37,25,0,999.9,0,0,0,0,0,0
"201",2,2015,1,20,"2015-01-20",500,35.7,23.4,1009.5,10,13.1,20,26,44.1,33.1,0.03,999.9,0,0,0,0,0,0
"202",2,2013,1,22,"2013-01-22",544,26.3,18.1,1011.1,6.5,10.8,20,26,32,19.9,0.14,999.9,1,0,1,0,0,0
"203",3,2018,1,24,"2018-01-24",615,41.1,36.1,1008.5,8.8,13.9,20,28.9,51.1,34,0.68,999.9,1,1,0,0,1,0
"204",1,2018,1,15,"2018-01-15",523,31.6,24.5,1034.9,9.1,15.4,20,25.1,37.9,25,0,999.9,0,0,1,0,0,0
"205",7,2019,1,6,"2019-01-06",376,39.7,34,1007.1,9.6,13.1,20,28.9,46.9,34,0.86,999.9,0,1,0,0,0,0
"206",7,2013,1,20,"2013-01-20",393,46.3,41.2,1010,7,14.9,20,26,50,43,0,999.9,0,0,0,0,0,0
"207",4,2013,1,10,"2013-01-10",555,43.5,30.4,1024,9.9,14.7,21,32.1,48,36,0,999.9,0,0,0,0,0,0
"208",6,2015,1,17,"2015-01-17",495,20.2,1.9,1023.6,10,13.3,21,31.1,39.9,15.1,0,999.9,0,0,0,0,0,0
